Mountain,Route,Mileage,Elevation,Route Time
Mt. Bierstadt,West Slopes,7.00 mi,2850',19800
Grays Peak,North Slopes,8.00 mi,3000',21600
La Plata Peak,Southwest Ridge,7.00 mi,3450',19320
Quandary Peak,East Ridge,6.00 mi,3200',30600
Pikes Peak,pike2,26.00 mi,7815',57900
La Plata Peak,Northwest Ridge,9.00 mi,4500',23400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21420
Mt. Bierstadt,West Slopes,7.00 mi,2900',15300
Longs Peak,Keyhole Route,14.00 mi,5100',30000
Little Bear Peak,West Ridge and Southwest Face,2.00 mi,-,15240
Mt. Wilson,Southwest Slopes,12.00 mi,4400',33600
Pikes Peak,Northwest Slopes,13.00 mi,4700',11400
Quandary Peak,East Ridge,7.00 mi,3419',23940
"Group: Democrat, Cameron, Lincoln, Bross",Combo,7.00 mi,3600',21300
Mt. Massive,East Slopes,14.00 mi,4500',21420
"Group: Castle, Conundrum",Standard route,11.00 mi,4285',23100
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3289',7980
La Plata Peak,Southwest Ridge,7.00 mi,3450',20220
"Group: Blanca, Ellingwood",Standard Routes,5.00 mi,3127',17760
Blanca Peak,Blanca and Ellingwood,5.00 mi,3127',17760
"Group: Shavano, Tabeguache",Standard,11.00 mi,5600',34320
Mt. Sherman,Southwest Ridge,5.00 mi,2018',13629
Little Bear Peak,West Ridge and Southwest Face,3.00 mi,2437',15720
Mt. Antero,West Slopes,10.00 mi,3429',13980
Mt. Antero,West Slopes,10.00 mi,3500',11400
Mt. Yale,Southwest Slopes,10.00 mi,4300',22500
Quandary Peak,East Ridge,-,-,10680
Grays Peak,North Slopes,-,-,10620
Mt. Bierstadt,West Slopes,7.00 mi,2850',4200
Pikes Peak,Northwest Slopes,5.00 mi,1180',4620
"Group: Evans, Sawtooth, Bierstadt",Combo Guanella Pass,11.00 mi,3900',33300
Quandary Peak,East Ridge,6.00 mi,3422',13680
Missouri Mountain,Northwest Ridge,10.00 mi,4487',19980
La Plata Peak,Northwest Ridge,9.00 mi,4425',20940
"Group: Crestone Peak, Needle, Humboldt",Humboldt Peak West Ridge,11.00 mi,4200',35100
Mt. Sherman,West Slopes from Iowa Gulch,4.00 mi,2152',14400
Mt. of the Holy Cross,Halo Ridge,13.00 mi,5400',32400
Culebra Peak,Northwest Ridge,7.00 mi,3030',16200
Longs Peak,Keyhole Route,14.00 mi,5640',47880
Quandary Peak,East Ridge,6.00 mi,3400',25020
Quandary Peak,East Ridge,6.00 mi,3450',15600
Mt. Sherman,Southwest Ridge,7.00 mi,2718',28800
Mt. Elbert,Northeast Ridge,9.00 mi,4466',30600
"Group: Shavano, Tabeguache",Standard,10.00 mi,5600',38700
La Plata Peak,Northwest Ridge,9.00 mi,4435',30540
"Group: Grays, Torreys",Standard,9.00 mi,-,23400
La Plata Peak,Northwest Ridge,9.00 mi,4435',30540
Torreys Peak,Kelso Ridge,6.00 mi,3100',11700
Mt. Bierstadt,West Slopes,7.00 mi,2850',15086
Huron Peak,Northwest Slopes,6.00 mi,3500',13713
La Plata Peak,Northwest Ridge,9.00 mi,4500',24000
Mt. Massive,Southwest Slopes,6.00 mi,3900',19620
"Group: Grays, Torreys",Via Kelso Ridge,8.00 mi,3600',18300
"Group: Grays, Torreys",Grays and Torreys Combo,8.00 mi,3600',18000
Wilson Peak,Southwest Ridge,10.00 mi,3800',35520
Huron Peak,Northwest Slopes,6.00 mi,3500',17520
"Group: Grays, Torreys",Stevens Gulch Combo,8.00 mi,3448',15120
Mt. Sherman,Southwest Ridge,6.00 mi,2100',18600
Mt. Elbert,East Ridge,12.00 mi,5000',21600
"Group: Shavano, Tabeguache",East Slopes,12.00 mi,5600',25200
Mt. Bierstadt,West Slopes,7.00 mi,2800',23520
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake,7.00 mi,3700',16800
Mt. Elbert,Northeast Ridge,10.00 mi,5056',24858
San Luis Peak,Northeast Ridge,13.00 mi,3514',18900
Maroon Peak,South Ridge,-,-,61200
Mt. Elbert,Northeast Ridge,9.00 mi,4700',22500
Mt. Yale,Southwest Slopes,9.00 mi,4300',13800
"Group: Grays, Torreys",Kelso Ridge,8.00 mi,3600',13500
Handies Peak,Southwest Slopes,10.00 mi,4800',15000
La Plata Peak,Northwest Ridge,9.00 mi,4500',25200
Quandary Peak,East Ridge,8.00 mi,3450',23400
Mt. Elbert,Northeast Ridge,9.00 mi,4700',25200
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron Loop,11.00 mi,3700',25200
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3800',19440
Mt. Massive,East Slopes,14.00 mi,4500',14460
Grays Peak,North Slopes,8.00 mi,3000',29700
"Group: Democrat, Cameron, Lincoln, Bross",Standard Kite Lake,7.00 mi,3700',12420
Missouri Mountain,Northwest Ridge,10.00 mi,4500',17400
"Group: Democrat, Cameron, Lincoln, Bross",Standard,11.00 mi,3700',18600
Mt. Massive,Southwest Slopes,9.00 mi,4000',21600
San Luis Peak,Northeast Ridge,13.00 mi,3600',19020
"Group: Belford, Oxford",Up Elkhead Pass Down Belford NW Ridge,11.00 mi,5967',21780
"Group: Grays, Torreys",Torreys North Slopes Grays South Slopes,8.00 mi,3560',18000
Pikes Peak,Northwest Slopes,14.00 mi,4300',26400
Grays Peak,North Slopes,8.00 mi,3000',25899
Quandary Peak,East Ridge,-,3400',25200
Mt. Princeton,East Slopes,6.00 mi,3091',10084
Mt. Antero,West Slopes,9.00 mi,3274',10208
Mt. Elbert,Northeast Ridge,9.00 mi,4700',19500
Mt. Elbert,Northeast Ridge,9.00 mi,4700',18420
Snowmass Mountain,East Slopes,22.00 mi,5800',72000
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',18399
Mt. Sherman,Southwest Ridge,7.00 mi,2700',12600
Mt. Yale,Southwest Slopes,9.00 mi,4300',20700
Huron Peak,Northwest Slopes,7.00 mi,3500',18000
"Group: Grays, Torreys",East slopes,9.00 mi,4188',14100
Mt. Bierstadt,West Slopes,7.00 mi,2779',7740
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron,7.00 mi,3431',11640
Longs Peak,Keyhole Route,14.00 mi,5142',24120
Quandary Peak,East Ridge,6.00 mi,3345',19020
"Group: Shavano, Tabeguache",Standard,10.00 mi,5600',38700
Pikes Peak,Northwest Slopes,14.00 mi,4500',20340
"Group: Castle, Conundrum",NE Ridge,11.00 mi,4000',26100
"Group: Belford, Oxford",Standard,11.00 mi,5800',27600
Mt. Princeton,East Slopes,9.00 mi,5600',25260
Mt. Yale,Southwest Slopes,9.00 mi,4300',22080
Mt. Columbia,West Slopes,11.00 mi,4250',29400
"Group: Shavano, Tabeguache",Standard,11.00 mi,5600',27660
"Group: Castle, Conundrum",Northeast Ridge,11.00 mi,4500',24000
Quandary Peak,East Ridge,6.00 mi,3470',15600
Mt. Shavano,East Slopes,9.00 mi,4600',14520
"Group: Democrat, Cameron, Lincoln, Bross",Standard Route,7.00 mi,3700',18000
Mt. Columbia,Southeast Ridge,12.00 mi,5200',29700
"Group: Grays, Torreys",Grays Torreys Combo,8.00 mi,3500',8100
Mt. Elbert,Northeast Ridge,9.00 mi,4400',11700
Mt. Antero,West Slopes,15.00 mi,4751',14735
Pikes Peak,Northwest Slopes,14.00 mi,4300',25500
San Luis Peak,South Ridge,11.00 mi,3700',21600
Mt. Belford,Northwest Ridge,7.00 mi,4617',18900
"Group: Castle, Conundrum",Standard,9.00 mi,4000',26400
Mt. Bierstadt,West Slopes,7.00 mi,-,11940
Huron Peak,Northwest Slopes,7.00 mi,3400',16200
Huron Peak,Northwest Slopes,6.00 mi,3500',15600
Torreys Peak,West Ridge,16.00 mi,-,44280
Pikes Peak,Northwest Slopes,15.00 mi,4300',23340
Pikes Peak,Northwest Slopes,14.00 mi,4408',31800
Mt. Bierstadt,West Slopes,7.00 mi,2850',20450
Culebra Peak,Northwest Ridge,5.00 mi,2700',14160
Mt. Lindsey,Northwest Gully,8.00 mi,3500',27600
Culebra Peak,Northwest Ridge,6.00 mi,3074',18300
Mt. Evans,West Ridge from Summit Lake,6.00 mi,2000',18000
Mt. Evans,West Ridge from Summit Lake,6.00 mi,2000',19800
Mt. Evans,West Ridge from Summit Lake,6.00 mi,2400',18900
Torreys Peak,Kelso Ridge,9.00 mi,4450',27000
Mt. Wilson,North Slopes,-,-,28200
Culebra Peak,Culebra Red Mtn Punta Serpienta,9.00 mi,3800',21600
"Group: Evans, Sawtooth, Bierstadt",Tour D Abyss,-,-,20700
Pikes Peak,Northwest Slopes,14.00 mi,4000',28200
Mt. Sherman,Southwest Ridge,5.00 mi,2100',12300
Mt. Elbert,Northeast Ridge,9.00 mi,4466',30600
Mt. Elbert,Northeast Ridge,9.00 mi,4700',24905
Mt. Bierstadt,West Slopes,7.00 mi,2850',28800
Quandary Peak,East Ridge,6.00 mi,3450',23400
Quandary Peak,East Ridge,6.00 mi,3442',20869
Mt. Yale,Southwest Slopes,9.00 mi,4300',34200
Mt. Harvard,South Slopes,14.00 mi,4600',39600
Mt. Massive,East Slopes,14.00 mi,4500',34200
Mt. Elbert,East Ridge,8.00 mi,4100',36000
"Group: Belford, Oxford, Missouri",Missouri North Face Couloirs and Belford/Oxford Combo,17.00 mi,8700',172800
Mt. Sherman,Southwest Ridge,7.00 mi,2718',28800
Humboldt Peak,East Ridge,13.00 mi,5650',31620
Mt. Lindsey,Northwest Gully,8.00 mi,3500',43200
"Group: Belford, Oxford, Missouri",Standard,15.00 mi,7139',21632
Grays Peak,Lost Rat Couloir,10.00 mi,4050',21300
Mt. Elbert,Southeast Ridge,12.00 mi,4900',24600
"Group: Shavano, Tabeguache",Angel,9.00 mi,5600',27120
Quandary Peak,East Ridge,6.00 mi,-,19560
Quandary Peak,East Ridge,6.00 mi,3400',25020
La Plata Peak,Northwest Ridge,9.00 mi,4500',25740
Mt. Bierstadt,West Slopes,5.00 mi,2411',25200
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron Loop,8.00 mi,3500',33000
Quandary Peak,East Ridge,6.00 mi,3426',24353
Quandary Peak,East Ridge,6.00 mi,3269',5400
Mt. Sherman,Southwest Ridge,5.00 mi,2100',8100
Mt. Bierstadt,West Slopes,11.00 mi,4000',19800
Quandary Peak,East Ridge,6.00 mi,3500',14040
Mt. Sneffels,South Slopes,6.00 mi,2900',30900
Mt. Shavano,East Slopes,9.00 mi,4400',35880
Wetterhorn Peak,Southeast Ridge,8.00 mi,3400',29940
Mt. Democrat,East Slope,5.00 mi,2200',21900
Mt. Sherman,Southwest Ridge,5.00 mi,2100',18600
Mt. Bierstadt,West Slopes,9.00 mi,3160',28800
Mt. Elbert,East Ridge,12.00 mi,4900',28800
Humboldt Peak,East Ridge,11.00 mi,5200',19800
Longs Peak,Kieners,10.00 mi,5000',12509
Grays Peak,North Slopes,12.00 mi,4500',13320
La Plata Peak,Northwest Ridge,9.00 mi,4336',34440
Mt. Bierstadt,West Slopes,9.00 mi,3500',18900
"Group: Democrat, Cameron, Lincoln, Bross",DECALIBRON,-,-,28800
Mt. Bierstadt,"Bierstadt, Sawtooth, Evans",11.90 mi,4900',26400
Longs Peak,Keyhole Route,14.50 mi,5100',44640
Mt. Massive,Southwest Slopes,8.00 mi,3950',23820
Mt. Elbert,Northeast Ridge,9.00 mi,4700',24240
Pikes Peak,Northwest Slopes,14.00 mi,4300',20100
Mt. Elbert,East Ridge,11.00 mi,4900',20820
Huron Peak,North Ridge from Lulu Gulch,9.65 mi,3645',27000
Mt. Sherman,Southwest Ridge,5.25 mi,2100',21600
Mt. Bierstadt,West Slopes,7.00 mi,2850',27000
Mt. Bierstadt,West Slopes,7.00 mi,2850',25200
Pikes Peak,Northwest Slopes,14.35 mi,4300',30600
Mt. Yale,East Ridge,11.60 mi,5000',36000
"Group: Evans, Sawtooth, Bierstadt","Up Evans, Down Mt. Spalding",8.40 mi,2700',27000
Quandary Peak,East Ridge,7.56 mi,3230',20700
"Group: Grays, Torreys",Combo,8.74 mi,3400',17100
"Group: Democrat, Cameron, Lincoln, Bross",Combo,8.94 mi,3300',27000
"Group: Harvard, Columbia",Ridge,18.69 mi,5400',54000
Mt. Massive,Southwest Slopes,10.21 mi,4046',29700
Mt. Elbert,East Ridge,9.20 mi,4100',43200
Longs Peak,Keplinger's Couloir,24.00 mi,6000',259200
Quandary Peak,East Ridge,-,-,14400
"Group: Evans, Sawtooth, Bierstadt",Sawtooth,-,-,21600
"Group: Democrat, Cameron, Lincoln, Bross",Standard,-,-,18000
"Group: Grays, Torreys",Kelso Ridge,-,-,14400
Mt. Bierstadt,Not sure,-,-,17100
Quandary Peak,Not sure,-,-,21600
"Group: Grays, Torreys",Not sure,-,-,25200
Mt. Princeton,East Slopes,10.00 mi,3000',25200
Humboldt Peak,West Ridge,11.73 mi,4977',23640
Huron Peak,Southwest Slopes,-,-,20100
Mt. Princeton,Southwest Ridge,12.00 mi,5100',36000
Quandary Peak,East Ridge,-,-,15000
Quandary Peak,East Ridge,6.75 mi,3450',30600
Huron Peak,Northwest Slopes,-,-,21240
Quandary Peak,East Ridge,9.00 mi,3450',23400
Mt. Bross,East Slopes from Mineral Park,9.49 mi,2801',13680
Quandary Peak,East Ridge,-,-,16200
Mt. Bierstadt,Northwest Gully,6.60 mi,2603',15240
Pikes Peak,pike2,-,-,28260
Mt. Elbert,Northeast Ridge,-,-,29100
"Group: Shavano, Tabeguache",Tabeguache peak via mt shavano,11.25 mi,5600',15181
La Plata Peak,Northwest Ridge,9.90 mi,4199',28979
Mt. Evans,West Ridge from Guanella Pass,10.00 mi,3413',27177
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12960
Mt. Shavano,East Slopes,9.32 mi,4600',25300
Mt. Bierstadt,West Slopes,-,-,13200
Mt. of the Holy Cross,Halo Ridge,14.06 mi,5560',26776
"Group: Democrat, Cameron, Lincoln, Bross",Combo from Kite Lake,7.25 mi,3700',22500
Mt. Elbert,East Ridge,8.50 mi,-,23760
"Group: Castle, Conundrum",NE ridge,9.21 mi,3600',19622
Mt. Democrat,East Slope,4.00 mi,2150',14400
"Group: Shavano, Tabeguache",East Slopes,11.25 mi,5600',28200
"Group: Belford, Oxford",Northwest Ridge from Missouri Gulch,11.00 mi,5800',27300
Missouri Mountain,Northwest Ridge,10.50 mi,4500',23400
Humboldt Peak,West Ridge,11.00 mi,4200',24540
Missouri Mountain,Northwest Ridge,12.20 mi,4500',27900
Mt. Bierstadt,West Slopes,7.00 mi,2850',24300
Mt. Sherman,West Slopes from Iowa Gulch,4.75 mi,2150',16200
Quandary Peak,East Ridge,6.75 mi,3450',12960
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',25500
Mt. of the Holy Cross,North Ridge,12.00 mi,5600',28200
Mt. Bierstadt,West Slopes,7.00 mi,2850',14400
Mt. Elbert,East Ridge,10.00 mi,4300',39600
Quandary Peak,East Ridge,6.75 mi,3450',17520
Capitol Peak,Northeast Ridge,17.00 mi,5300',47700
Mt. Harvard,South Slopes,14.00 mi,4600',26100
Mt. Elbert,Northeast Ridge,9.00 mi,4700',24300
Quandary Peak,East Ridge,6.60 mi,3213',23940
"Group: Democrat, Cameron, Lincoln, Bross",Decalibron Loop,9.50 mi,3824',22380
Humboldt Peak,West Ridge,11.70 mi,4200',554400
Handies Peak,Southwest Slopes,6.78 mi,2761',15780
Mt. Sneffels,South Slopes,4.32 mi,1506',16158
San Luis Peak,Northeast Ridge,13.50 mi,3600',18677
Handies Peak,East Slopes,8.00 mi,3650',14105
"Group: Maroon, North Maroon",Maroon Bells Traverse,11.00 mi,4850',39300
Mt. Democrat,East Slope,7.00 mi,2300',23400
"Group: Democrat, Cameron, Lincoln, Bross",Kite lake,9.30 mi,3700',21600
Mt. Shavano,Angel of Shavano,9.10 mi,4453',25800
Mt. Sherman,Southwest Ridge,5.25 mi,2100',16200
Mt. Elbert,Northeast Ridge,10.00 mi,4493',18000
Huron Peak,North Ridge from Lulu Gulch,13.60 mi,4000',41400
"Group: Evans, Sawtooth, Bierstadt",Tour de Abyss (from Summit Lake),10.50 mi,3860',23520
"Group: Belford, Oxford, Missouri","Pecks, Belford, Oxford, Waverly, Iowa, Emerald, Missouri",23.00 mi,11000',29700
Longs Peak,Keyhole Route,15.20 mi,5200',20520
Uncompahgre Peak,South Ridge,8.00 mi,3000',21600
Mt. Eolus,"Northeast Ridge, start from Twin Lakes",-,1600',8400
Humboldt Peak,West Ridge,12.20 mi,4200',34500
"Group: Evans, Sawtooth, Bierstadt",Standard Combo,10.25 mi,3900',28800
"Group: Redcloud, Sunshine",Redcloud Northeast Ridge to Sunshine Northeast Ridge,12.25 mi,4800',25472
"Group: Uncompahgre, Wetterhorn",Wetterhorn Southeast Ridge to Uncompahgre Southwest Slopes,23.50 mi,7520',37284
Mt. Harvard,South Slopes,14.00 mi,4600',28800
Huron Peak,Northwest Slopes,7.00 mi,3500',22380
"Group: Challenger, Kit Carson",north slop,-,-,43200
Ridge Traverse: Maroon Bells,Bell Traverse Ridge,-,-,45000
Grays Peak,North Slopes,8.00 mi,3043',22080
Humboldt Peak,West Ridge,11.00 mi,4221',34200
"Group: Grays, Torreys","Grays TH to Grays, Torrey's, back",8.20 mi,3500',12000
Torreys Peak,"Combo: Kelso Ridge to Torreys, then Grays",7.41 mi,4639',23700
"Group: Shavano, Tabeguache",Standard,11.25 mi,5600',24000
Pikes Peak,Barr Trail,13.50 mi,7400',27000
"Group: Belford, Oxford",Missouri Gulch,15.00 mi,5800',37800
Mt. Sneffels,South Slopes,8.00 mi,3000',6180
Longs Peak,Keyhole Route,14.50 mi,5640',47880
Mt. Harvard,South Slopes,14.00 mi,4600',33300
Mt. Elbert,Northeast Ridge,9.00 mi,4700',31140
Quandary Peak,East Ridge,7.00 mi,3750',16800
"Group: Grays, Torreys",Grays from Torreys via Kelso Ridge,8.50 mi,3600',21600
Mt. Bierstadt,West Slopes,7.00 mi,2850',15360
Wetterhorn Peak,Southeast Ridge,8.50 mi,3500',16200
Group: Windom Group (4 named 14ers),Via Chicago Basin,22.40 mi,8478',172800
Mt. Sneffels,South Slopes,7.00 mi,3150',18000
Redcloud Peak,Northeast Ridge,9.00 mi,3700',16440
Handies Peak,East Slopes,8.00 mi,3650',12360
"Group: Democrat, Cameron, Lincoln, Bross","Combo) Democrat, Cameron, Lincoln, Bross",7.25 mi,3700',28800
Torreys Peak,South Slopes,8.00 mi,3000',27900
Mt. Bierstadt,West Slopes,7.00 mi,2800',21600
Quandary Peak,East Ridge,7.00 mi,3510',13860
Mt. Harvard,South Slopes,14.00 mi,4600',23400
"Group: Democrat, Cameron, Lincoln, Bross",Standard,7.15 mi,4181',21480
Mt. Sneffels,South Slopes,7.18 mi,3474',15561
Huron Peak,Northwest Slopes,9.75 mi,3600',16620
Quandary Peak,East Ridge,6.75 mi,3450',23400
"Group: Belford, Oxford",Northeast Ridge from TH,11.00 mi,5800',12900
Mt. Sneffels,Southwest Ridge,6.50 mi,2950',22140
Ridge Traverse: The Crestones ,standard Peak to Needle,14.00 mi,5300',45000
Mt. Sneffels,Southwest Ridge,7.00 mi,3400',18000
Longs Peak,Keyhole Route,15.00 mi,5100',39600
Snowmass Mountain,West Slope,10.00 mi,4500',39600
Redcloud Peak,Northeast Ridge,12.25 mi,4800',28440
Missouri Mountain,Northwest Ridge,10.50 mi,4500',18000
Pikes Peak,Northwest Slopes,16.50 mi,4300',29700
Missouri Mountain,Northwest Ridge,10.50 mi,4500',14280
"Group: Blanca, Ellingwood",SW ridge Ellingwood to Blanca,11.00 mi,4800',26340
Longs Peak,Keyhole Route,14.50 mi,5100',45000
Longs Peak,Keyhole Route,14.50 mi,5100',27900
Longs Peak,Keyhole Route,14.50 mi,5100',14400
"Group: Grays, Torreys",Combo: Grays and Torreys,8.50 mi,3600',30000
Pikes Peak,pike2,26.20 mi,7800',24595
La Plata Peak,Northwest Ridge,9.25 mi,4500',17460
Quandary Peak,East Ridge,6.75 mi,3450',15420
Mt. Sherman,Southwest Ridge,5.25 mi,2100',7800
Mt. Yale,Southwest Slopes,9.50 mi,4300',18000
Mt. Yale,Southwest Slopes,9.45 mi,4350',24180
Pyramid Peak,Northeast Ridge,8.25 mi,4500',23400
Quandary Peak,East Ridge,7.10 mi,3450',22116
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,7.25 mi,3700',21600
"Group: Belford, Oxford",Standard,11.00 mi,5800',39600
"Group: Belford, Oxford, Missouri","Belford, Oxford, Missouri",14.50 mi,7300',39600
Huron Peak,Northwest Slopes,7.05 mi,3488',12721
"Ridge Traverse: El Diente, Mt. Wilson",El Diente and Wilson traverse via Kilpacker,13.00 mi,5000',41400
Mt. Democrat,East Slope,6.50 mi,2200',14400
Mt. Elbert,Northeast Ridge,9.46 mi,4700',19230
Uncompahgre Peak,South Ridge,7.50 mi,3000',19800
"Group: Grays, Torreys",Grays and Torreys,8.25 mi,-,21780
Mt. Antero,West Slopes,15.20 mi,4600',14700
Quandary Peak,East Ridge,6.75 mi,3450',12000
"Group: Evans, Sawtooth, Bierstadt",Tour d'Abyss,7.50 mi,4357',22918
La Plata Peak,Northwest Ridge,10.13 mi,4478',19959
Culebra Peak,Northwest Ridge,5.00 mi,2700',18000
Mt. Yale,Southwest Slopes,9.50 mi,4300',20700
"Group: Shavano, Tabeguache",East Slopes,11.25 mi,5600',28020
Mt. Elbert,Northeast Ridge,9.00 mi,4700',33600
Mt. Evans,Northeast Face,3.84 mi,1475',15240
Longs Peak,"Keyhole Ridge, down Cables",14.00 mi,5000',13080
Torreys Peak,Kelso Ridge,7.88 mi,3379',10703
"Group: Challenger, Kit Carson",Combo: Challenger Point / Kit Carson,14.50 mi,6250',42000
San Luis Peak,Northeast Ridge,13.50 mi,3600',26400
Longs Peak,Keyhole Route,14.80 mi,5100',50700
Missouri Mountain,Northwest Ridge,11.42 mi,4572',33900
Mt. Bierstadt,West Slopes,7.00 mi,2800',21600
Mt. Sneffels,Southwest Ridge,7.85 mi,3640',19440
Wilson Peak,Rock of Ages Approach,10.10 mi,4244',26100
Mt. Sneffels,South Slopes,8.20 mi,3300',19920
"Ridge Traverse: El Diente, Mt. Wilson",Kilpacker Trailhead,13.50 mi,4800',41400
Huron Peak,Northwest Slopes,-,-,17100
Longs Peak,Keyhole Route,14.50 mi,5134',17245
Longs Peak,Keyhole Route,14.50 mi,5100',20707
North Maroon Peak,Northeast Ridge,9.25 mi,4500',29700
Mt. Elbert,Northeast Ridge,9.00 mi,4700',21600
Mt. Bierstadt,West Slopes,7.00 mi,2850',14700
Mt. Yale,Southwest Slopes,9.40 mi,4300',23400
La Plata Peak,Northwest Ridge,9.20 mi,4300',21900
Quandary Peak,West Ridge,5.90 mi,2650',12045
Mt. Elbert,Northeast Ridge,9.00 mi,4700',23880
Mt. Bierstadt,West Slopes,7.20 mi,2491',14842
"Group: Grays, Torreys",Grays and Torreys,8.20 mi,3332',19908
Quandary Peak,East Ridge,7.00 mi,3320',14160
Mt. Bross,Quartzville Trailhead,6.80 mi,2500',11280
Mt. Belford,Northwest Ridge,7.75 mi,4500',15720
"Group: Crestone Peak, Needle, Humboldt",Crestone Traverse/Standard Humboldt,17.00 mi,7664',35820
Pikes Peak,Northwest Slopes,14.00 mi,4300',22200
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBro loop,7.25 mi,3700',23400
"Group: Shavano, Tabeguache",Mt. Shavano East Slope & Tabeguache,11.25 mi,5600',30900
"Group: Democrat, Cameron, Lincoln, Bross",DeCaLiBron,9.14 mi,3441',24730
Castle Peak,Northeast Ridge,-,4000',31200
Mt. Bierstadt,West Slopes,7.00 mi,2850',12240
Longs Peak,Keyhole Route,15.00 mi,5100',53820
Mt. Yale,Southwest Slopes,9.50 mi,4300',28200
Mt. Sneffels,From Blue Lakes Trailhead Tour de Sneffels,16.50 mi,7000',30000
"Group: Grays, Torreys",Grays/Torreys-west ridge,10.78 mi,5500',14718
"Group: Redcloud, Sunshine",From Redcloud Peak,12.25 mi,4800',31920
Mt. Elbert,Southeast Ridge,11.20 mi,5398',26700
Mt. Massive,Southwest Slopes,8.00 mi,3950',19500
Crestone Peak,South Face,2.00 mi,2000',16200
Longs Peak,Keyhole Route,15.00 mi,5200',36900
Mt. Evans,West Ridge from Guanella Pass,9.25 mi,3100',32400
Mt. Bierstadt,West Slopes,7.21 mi,3254',19380
Longs Peak,Meeker then Longs via Keplingers,12.50 mi,5555',30000
Mt. Bierstadt,West Slopes,7.80 mi,2850',14400
Culebra Peak,"Northwest Ridge (plus Red Mountain A and ""Punta Serpiente"")",9.26 mi,5196',18732
Longs Peak,Keyhole Route,14.50 mi,5100',37800
Mt. Harvard,South Slopes,13.50 mi,4600',19140
Mt. Evans,West Ridge from Summit Lake,4.50 mi,2000',18000
Uncompahgre Peak,South Ridge,7.60 mi,3000',17160
Wetterhorn Peak,Southeast Ridge,7.98 mi,3415',21180
Pikes Peak,Northwest Slopes,7.00 mi,4300',13800
"Group: Castle, Conundrum","Northeast Ridge, Down Saddle",10.20 mi,4300',13680
Missouri Mountain,Northwest Ridge,10.50 mi,4500',13828
Culebra Peak,Northwest Ridge,5.00 mi,2500',12900
Mt. Sherman,Southwest Ridge,5.25 mi,2100',7500
Pikes Peak,pike2,26.00 mi,7500',34200
Mt. of the Holy Cross,Halo Ridge,15.00 mi,5210',22370
Mt. Bierstadt,West Slopes,7.00 mi,2850',7111
Mt. Evans,West Ridge from Summit Lake,4.50 mi,2000',12600
Quandary Peak,East Ridge,6.60 mi,3363',12488
Longs Peak,Keyhole Route,13.90 mi,5139',28089
Mt. Evans,Northeast Face,3.50 mi,1475',7680
Pikes Peak,Northwest Slopes,14.00 mi,4300',31200
Torreys Peak,South Slopes,8.00 mi,3000',20100
Handies Peak,Southwest Slopes,6.64 mi,2665',18240
Mt. Bierstadt,West Slopes,7.00 mi,2850',22140
Grays Peak,North Slopes,8.00 mi,3000',21000
"Group: Democrat, Cameron, Lincoln, Bross",Kite Lake (COMBO),7.25 mi,3700',24540
Mt. Sherman,Southwest Ridge,5.25 mi,2100',12248
"Group: Castle, Conundrum",Northeast Ridge,12.50 mi,4300',27900
Mt. Evans,West Ridge from Summit Lake,4.50 mi,2000',8340
"Group: Belford, Oxford, Missouri",Missouri Oxford Belford,12.50 mi,7300',32940
Snowmass Mountain,West Slope,9.00 mi,4500',23400
Capitol Peak,Northeast Ridge from TH,17.00 mi,5300',20820
Pikes Peak,pike2,26.90 mi,8335',41700
Pikes Peak,pike2,26.00 mi,7500',48900
Mt. Sherman,Southwest Ridge,5.25 mi,2000',10620
Mt. Sneffels,Southwest Ridge,5.72 mi,2950',12600
Torreys Peak,Kelso Ridge,6.75 mi,3100',10260
Mt. Yale,Southwest Slopes,8.57 mi,3953',15326
Pikes Peak,Northwest Slopes,14.00 mi,4300',19800
Wilson Peak,Southwest Ridge,9.52 mi,3800',14441
Longs Peak,Keyhole Route,14.50 mi,5100',30600
"Group: Uncompahgre, Wetterhorn",Combo & Matterhorn,15.50 mi,7500',29820
Handies Peak,Southwest Slopes,5.30 mi,2500',6120
"Group: Evans, Sawtooth, Bierstadt","Combo) Bierstadt, Sawtooth, Evans",999.99 mi,4488',22680
Maroon Peak,South Ridge,14.20 mi,5250',44100
Pikes Peak,pike2,26.50 mi,7800',34200
Pikes Peak,Northwest Slopes,14.00 mi,4100',24600
Pikes Peak,pike2,26.50 mi,7800',26940
Mt. Bierstadt,West Slopes,7.00 mi,2850',46800
Missouri Mountain,Northwest Ridge,10.50 mi,4500',43200
Quandary Peak,East Ridge,6.75 mi,3450',43200
Mt. Sherman,South Slope,-,-,10800
Mt. Shavano,East Slopes,-,-,51600
